authorID,fullName
b500263,"James Fenimore, Cooper"
b500264,"Gerald, Breckenridge"
b500265,"Artemus, Ward"
b500266,"R. M. (Robert Maynard), Leonard"
b500267,"Frederick Orlin, Tremaine"
b500268,"Donald, Ferguson"
b500269,"Robert Sidney, Bowen"
b500270,"Edward William, Lane"
b500271,"Stanley, Lane-Poole"
b500272,"J. Knox, Jones"
b500273,"Eliza Paul, Gurney"
b500274,"Thomas, Burke"
b500275,"Emily Sarah, Holt"
b500276,"William Alexander, Caruthers"
b500277,"Robert, Graves"
b500278,"Fanny, Forester"
b500279,"L. T., Meade"
b50028,"Wallace, Goldsmith"
b500280,"Edward, Eggleston"
b500281,"R. Dillon, Boylan"
b500282,"Friedrich, Schiller"
b500283,"Evelyn, Scott"
b500284,"Paul, Hardy"
b500285,"F. (Friedrich), Bente"
b500286,"Frederick Charles, Jennings"
b500287,"David, Widger"
b500288,"George, Bell"
b500289,"Peter, Wright"
b50029,"Consolation, Non"
b500290,"Anatole, France"
b500292,"Charles, Darwin"
b500293,"William Walker, Atkinson"
b500294,"Calvin, Colton"
b500295,"Stith, Thompson"
b500296,"Cosette Faust, Newton"
b500297,"Henry F. (Henry Frey), Lutz"
b500298,"Murray, Leinster"
b500299,"John Joseph, McGuire"
b5003,"Thomas, Keightley"
b50030,"Fanny, Fern"
b500300,"Kate Heintz, Watson"
b500301,"Jagadis Chandra, Bose"
b500302,"Temi, Rose"
b500303,"Bernard, Shaw"
b500304,"Arthur, Quiller-Couch"
b500305,"Gerald, Bullett"
b500306,"R., Seymour"
b500307,"Thomas K., Hervey"
b500308,"Josephine, Culpeper"
b500309,"Henry, Baerlein"
b50031,"James L. (James Laughlin), Hughes"
b500310,"W. H. T. (William Herman Theodore), Dau"
b500311,"William Eleroy, Curtis"
b500312,"William Edward Hartpole, Lecky"
b500313,"John S. C. (John Stevens Cabot), Abbott"
b500314,"Abby Morton, Diaz"
b500315,"Samuel E. (Samuel Edward), Lowe"
b500316,"Edward Gaylord, Bourne"
b500317,"James Alexander, Robertson"
b500318,"Emma Helen, Blair"
b500319,"Dillon, Wallace"
b50032,"Mayne, Reid"
b500320,"George William, Curtis"
b500321,"Allan, Pinkerton"
b500322,"Thomas, Wright"
b500324,"Joseph Hodges, Choate"
b500325,"Marie, Lebert"
b500326,"Thomas R. (Thomas Raymond), Cole"
b500327,"Richard Joseph, Beamish"
b500328,"Francis Andrew, March"
b500329,"Fred M. (Fred Merrick), White"
b50033,"L., Evans"
b500330,"Arthur Christopher, Benson"
b500331,"Gertrude Franklin Horn, Atherton"
b500332,"John D., Sutcliffe"
b500333,"Jean de, La Fontaine"
